@relation 'trainingData-weka.filters.unsupervised.attribute.Remove-R2-6,8,10,13'

@attribute age numeric
@attribute housing {yes,no}
@attribute contact {unknown,cellular,telephone}
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute termDeposit {no,yes}

@data
33,yes,unknown,may,217,-1,0,unknown,no
55,yes,unknown,may,142,-1,0,unknown,no
42,yes,unknown,may,67,-1,0,unknown,no
33,yes,unknown,may,309,-1,0,unknown,no
38,yes,unknown,may,248,-1,0,unknown,no
50,no,unknown,may,98,-1,0,unknown,no
43,yes,unknown,may,256,-1,0,unknown,no
47,yes,unknown,may,577,-1,0,unknown,no
48,yes,unknown,may,286,-1,0,unknown,no
44,yes,unknown,may,477,-1,0,unknown,no
35,yes,unknown,may,611,-1,0,unknown,no
50,yes,unknown,may,381,-1,0,unknown,no
41,yes,unknown,may,42,-1,0,unknown,no
41,yes,unknown,may,251,-1,0,unknown,no
39,yes,unknown,may,408,-1,0,unknown,no
38,yes,unknown,may,287,-1,0,unknown,no
53,yes,unknown,may,216,-1,0,unknown,no
59,no,unknown,may,366,-1,0,unknown,no
36,yes,unknown,may,210,-1,0,unknown,no
40,yes,unknown,may,168,-1,0,unknown,no
47,no,unknown,may,338,-1,0,unknown,no
53,no,unknown,may,410,-1,0,unknown,no
46,no,unknown,may,177,-1,0,unknown,no
40,yes,unknown,may,357,-1,0,unknown,no
28,yes,unknown,may,175,-1,0,unknown,no
35,yes,unknown,may,300,-1,0,unknown,no
55,no,unknown,may,136,-1,0,unknown,no
48,yes,unknown,may,125,-1,0,unknown,no
58,yes,unknown,may,213,-1,0,unknown,no
33,yes,unknown,may,27,-1,0,unknown,no
36,no,unknown,may,238,-1,0,unknown,no
47,yes,unknown,may,18,-1,0,unknown,no
31,yes,unknown,may,730,-1,0,unknown,no
57,yes,unknown,may,746,-1,0,unknown,no
53,no,unknown,may,121,-1,0,unknown,no
45,yes,unknown,may,40,-1,0,unknown,no
53,yes,unknown,may,181,-1,0,unknown,no
37,yes,unknown,may,79,-1,0,unknown,no
44,yes,unknown,may,206,-1,0,unknown,no
46,yes,unknown,may,127,-1,0,unknown,no
43,yes,unknown,may,702,-1,0,unknown,no
38,no,unknown,may,151,-1,0,unknown,no
43,yes,unknown,may,117,-1,0,unknown,no
42,no,unknown,may,408,-1,0,unknown,no
22,yes,unknown,may,179,-1,0,unknown,no
40,yes,unknown,may,39,-1,0,unknown,no
39,yes,unknown,may,282,-1,0,unknown,no
49,yes,unknown,may,50,-1,0,unknown,no
53,yes,unknown,may,181,-1,0,unknown,no
34,yes,unknown,may,142,-1,0,unknown,no
33,yes,unknown,may,227,-1,0,unknown,no
39,yes,unknown,may,361,-1,0,unknown,no
59,yes,unknown,may,73,-1,0,unknown,no
30,yes,unknown,may,67,-1,0,unknown,no
36,yes,unknown,may,350,-1,0,unknown,no
53,yes,unknown,may,611,-1,0,unknown,no
34,yes,unknown,may,113,-1,0,unknown,no
37,yes,unknown,may,132,-1,0,unknown,no
42,yes,unknown,may,58,-1,0,unknown,no
30,yes,unknown,may,89,-1,0,unknown,no
37,yes,unknown,may,152,-1,0,unknown,no
39,yes,unknown,may,611,-1,0,unknown,no
41,yes,unknown,may,110,-1,0,unknown,no
42,yes,unknown,may,562,-1,0,unknown,yes
40,yes,unknown,may,962,-1,0,unknown,no
57,yes,unknown,may,10,-1,0,unknown,no
56,no,unknown,may,118,-1,0,unknown,no
59,yes,unknown,may,143,-1,0,unknown,no
39,yes,unknown,may,189,-1,0,unknown,no
49,no,unknown,may,234,-1,0,unknown,no
38,yes,unknown,may,75,-1,0,unknown,no
50,yes,unknown,may,621,-1,0,unknown,no
41,yes,unknown,may,55,-1,0,unknown,no
54,no,unknown,may,310,-1,0,unknown,no
58,yes,unknown,may,156,-1,0,unknown,no
33,yes,unknown,may,225,-1,0,unknown,no
47,yes,unknown,may,125,-1,0,unknown,no
50,yes,unknown,may,2,-1,0,unknown,no
32,yes,unknown,may,286,-1,0,unknown,no
37,yes,unknown,may,98,-1,0,unknown,no
54,yes,unknown,may,742,-1,0,unknown,no
24,yes,unknown,may,226,-1,0,unknown,no
54,no,unknown,may,120,-1,0,unknown,no
56,yes,unknown,may,357,-1,0,unknown,no
31,yes,unknown,may,200,-1,0,unknown,no
24,yes,unknown,may,204,-1,0,unknown,no
42,yes,unknown,may,126,-1,0,unknown,no
42,yes,unknown,may,107,-1,0,unknown,no
51,yes,unknown,may,267,-1,0,unknown,no
57,yes,unknown,may,248,-1,0,unknown,no
36,yes,unknown,may,215,-1,0,unknown,no
50,yes,unknown,may,205,-1,0,unknown,no
54,yes,unknown,may,83,-1,0,unknown,no
55,yes,unknown,may,106,-1,0,unknown,no
44,yes,unknown,may,189,-1,0,unknown,no
56,yes,unknown,may,106,-1,0,unknown,no
54,yes,unknown,may,108,-1,0,unknown,no
55,yes,unknown,may,311,-1,0,unknown,no
37,yes,unknown,may,214,-1,0,unknown,no
46,yes,unknown,may,358,-1,0,unknown,no
36,yes,unknown,may,453,-1,0,unknown,no
51,yes,unknown,may,364,-1,0,unknown,no
40,no,unknown,may,136,-1,0,unknown,no
51,yes,unknown,may,173,-1,0,unknown,no
49,yes,unknown,may,241,-1,0,unknown,no
48,yes,unknown,may,224,-1,0,unknown,no
32,no,unknown,may,148,-1,0,unknown,no
55,no,unknown,may,111,-1,0,unknown,no
40,yes,unknown,may,231,-1,0,unknown,no
47,yes,unknown,may,316,-1,0,unknown,no
57,yes,unknown,may,216,-1,0,unknown,no
48,no,unknown,may,669,-1,0,unknown,no
42,yes,unknown,may,425,-1,0,unknown,no
30,yes,unknown,may,143,-1,0,unknown,no
58,yes,unknown,may,174,-1,0,unknown,no
49,yes,unknown,may,135,-1,0,unknown,no
42,yes,unknown,may,146,-1,0,unknown,no
53,yes,unknown,may,152,-1,0,unknown,no
51,no,unknown,may,402,-1,0,unknown,no
41,yes,unknown,may,144,-1,0,unknown,no
43,yes,unknown,may,124,-1,0,unknown,no
40,yes,unknown,may,183,-1,0,unknown,no
50,yes,unknown,may,325,-1,0,unknown,no
53,no,unknown,may,503,-1,0,unknown,no
45,yes,unknown,may,95,-1,0,unknown,no
39,yes,unknown,may,680,-1,0,unknown,no
44,yes,unknown,may,421,-1,0,unknown,no
46,yes,unknown,may,113,-1,0,unknown,no
45,yes,unknown,may,808,-1,0,unknown,no
34,yes,unknown,may,198,-1,0,unknown,no
36,yes,unknown,may,195,-1,0,unknown,no
31,yes,unknown,may,208,-1,0,unknown,no
44,yes,unknown,may,404,-1,0,unknown,no
33,yes,unknown,may,396,-1,0,unknown,no
40,yes,unknown,may,216,-1,0,unknown,no
48,yes,unknown,may,350,-1,0,unknown,no
42,yes,unknown,may,114,-1,0,unknown,no
27,yes,unknown,may,88,-1,0,unknown,no
48,yes,unknown,may,379,-1,0,unknown,no
46,yes,unknown,may,158,-1,0,unknown,no
38,yes,unknown,may,102,-1,0,unknown,no
43,yes,unknown,may,306,-1,0,unknown,no
38,yes,unknown,may,218,-1,0,unknown,no
34,yes,unknown,may,344,-1,0,unknown,no
38,yes,unknown,may,195,-1,0,unknown,no
37,no,unknown,may,652,-1,0,unknown,no
25,yes,unknown,may,286,-1,0,unknown,no
49,yes,unknown,may,83,-1,0,unknown,no
38,no,unknown,may,184,-1,0,unknown,no
43,yes,unknown,may,235,-1,0,unknown,no
33,yes,unknown,may,290,-1,0,unknown,no
38,yes,unknown,may,133,-1,0,unknown,no
49,yes,unknown,may,318,-1,0,unknown,no
40,no,unknown,may,260,-1,0,unknown,no
43,no,unknown,may,437,-1,0,unknown,no
58,yes,unknown,may,85,-1,0,unknown,no
57,yes,unknown,may,125,-1,0,unknown,no
32,yes,unknown,may,501,-1,0,unknown,no
56,yes,unknown,may,1201,-1,0,unknown,yes
60,yes,unknown,may,1030,-1,0,unknown,yes
37,yes,unknown,may,149,-1,0,unknown,no
46,yes,unknown,may,114,-1,0,unknown,no
27,yes,unknown,may,243,-1,0,unknown,no
32,yes,unknown,may,135,-1,0,unknown,no
40,yes,unknown,may,231,-1,0,unknown,no
38,no,unknown,may,76,-1,0,unknown,no
34,no,unknown,may,199,-1,0,unknown,no
42,yes,unknown,may,124,-1,0,unknown,no
48,yes,unknown,may,424,-1,0,unknown,no
29,yes,unknown,may,43,-1,0,unknown,no
50,yes,unknown,may,154,-1,0,unknown,no
50,no,unknown,may,326,-1,0,unknown,no
58,no,unknown,may,393,-1,0,unknown,no
46,yes,unknown,may,241,-1,0,unknown,no
38,yes,unknown,may,483,-1,0,unknown,no
32,yes,unknown,may,227,-1,0,unknown,no
51,yes,unknown,may,673,-1,0,unknown,no
39,yes,unknown,may,576,-1,0,unknown,no
48,yes,unknown,may,180,-1,0,unknown,no
34,yes,unknown,may,90,-1,0,unknown,no
40,no,unknown,may,505,-1,0,unknown,no
43,yes,unknown,may,245,-1,0,unknown,no
52,yes,unknown,may,186,-1,0,unknown,no
49,yes,unknown,may,496,-1,0,unknown,no
32,yes,unknown,may,118,-1,0,unknown,no
39,yes,unknown,may,342,-1,0,unknown,no
40,yes,unknown,may,225,-1,0,unknown,no
43,yes,unknown,may,196,-1,0,unknown,no
39,yes,unknown,may,276,-1,0,unknown,no
54,yes,unknown,may,76,-1,0,unknown,no
38,yes,unknown,may,87,-1,0,unknown,no
55,yes,unknown,may,744,-1,0,unknown,no
42,yes,unknown,may,765,-1,0,unknown,no
39,yes,unknown,may,262,-1,0,unknown,no
40,yes,unknown,may,119,-1,0,unknown,no
55,yes,unknown,may,150,-1,0,unknown,no
45,no,unknown,may,241,-1,0,unknown,no
35,yes,unknown,may,181,-1,0,unknown,no
58,no,unknown,may,196,-1,0,unknown,no
49,yes,unknown,may,246,-1,0,unknown,no
34,yes,unknown,may,112,-1,0,unknown,no
36,yes,unknown,may,309,-1,0,unknown,no
24,yes,unknown,may,278,-1,0,unknown,no
51,yes,unknown,may,136,-1,0,unknown,no
39,yes,unknown,may,1623,-1,0,unknown,yes
50,yes,unknown,may,101,-1,0,unknown,no
32,yes,unknown,may,144,-1,0,unknown,no
50,yes,unknown,may,354,-1,0,unknown,no
40,no,unknown,may,79,-1,0,unknown,no
46,yes,unknown,may,187,-1,0,unknown,no
37,yes,unknown,may,451,-1,0,unknown,no
44,yes,unknown,may,409,-1,0,unknown,no
40,yes,unknown,may,170,-1,0,unknown,no
37,yes,unknown,may,608,-1,0,unknown,yes
33,no,unknown,may,243,-1,0,unknown,no
58,no,unknown,may,112,-1,0,unknown,no
39,yes,unknown,may,262,-1,0,unknown,no
43,yes,unknown,may,124,-1,0,unknown,no
39,yes,unknown,may,53,-1,0,unknown,no
57,no,unknown,may,204,-1,0,unknown,no
36,yes,unknown,may,186,-1,0,unknown,no
50,yes,unknown,may,678,-1,0,unknown,no
55,yes,unknown,may,182,-1,0,unknown,no
44,yes,unknown,may,27,-1,0,unknown,no
39,yes,unknown,may,699,-1,0,unknown,no
46,yes,unknown,may,43,-1,0,unknown,no
39,yes,unknown,may,97,-1,0,unknown,no
40,yes,unknown,may,283,-1,0,unknown,no
50,yes,unknown,may,323,-1,0,unknown,no
31,yes,unknown,may,82,-1,0,unknown,no
37,yes,unknown,may,310,-1,0,unknown,no
51,yes,unknown,may,47,-1,0,unknown,no
41,yes,unknown,may,145,-1,0,unknown,no
41,yes,unknown,may,204,-1,0,unknown,no
43,no,unknown,may,187,-1,0,unknown,no
54,no,unknown,may,472,-1,0,unknown,no
43,yes,unknown,may,448,-1,0,unknown,no
59,yes,unknown,may,264,-1,0,unknown,no
47,yes,unknown,may,169,-1,0,unknown,no
32,yes,unknown,may,176,-1,0,unknown,no
29,yes,unknown,may,215,-1,0,unknown,no
36,yes,unknown,may,337,-1,0,unknown,no
55,no,unknown,may,278,-1,0,unknown,no
39,yes,unknown,may,174,-1,0,unknown,no
39,yes,unknown,may,226,-1,0,unknown,no
50,yes,unknown,may,190,-1,0,unknown,no
44,yes,unknown,may,111,-1,0,unknown,no
46,yes,unknown,may,157,-1,0,unknown,no
32,no,unknown,may,46,-1,0,unknown,no
37,yes,unknown,may,374,-1,0,unknown,no
29,yes,unknown,may,349,-1,0,unknown,no
45,yes,unknown,may,233,-1,0,unknown,no
57,yes,unknown,may,531,-1,0,unknown,no
48,yes,unknown,may,153,-1,0,unknown,no
60,no,unknown,may,80,-1,0,unknown,no
58,yes,unknown,may,118,-1,0,unknown,no
34,yes,unknown,may,190,-1,0,unknown,no
55,yes,unknown,may,918,-1,0,unknown,yes
41,yes,unknown,may,238,-1,0,unknown,no
49,yes,unknown,may,198,-1,0,unknown,no
44,no,unknown,may,160,-1,0,unknown,no
44,yes,unknown,may,211,-1,0,unknown,no
31,yes,unknown,may,120,-1,0,unknown,no
46,yes,unknown,may,269,-1,0,unknown,no
42,no,unknown,may,157,-1,0,unknown,no
52,yes,unknown,may,128,-1,0,unknown,no
29,yes,unknown,may,211,-1,0,unknown,no
43,yes,unknown,may,371,-1,0,unknown,no
38,yes,unknown,may,288,-1,0,unknown,no
46,yes,unknown,may,221,-1,0,unknown,no
48,yes,unknown,may,427,-1,0,unknown,no
44,no,unknown,may,158,-1,0,unknown,no
31,yes,unknown,may,604,-1,0,unknown,no
42,yes,unknown,may,198,-1,0,unknown,no
40,yes,unknown,may,145,-1,0,unknown,no
45,yes,unknown,may,179,-1,0,unknown,no
48,yes,unknown,may,73,-1,0,unknown,no
45,yes,unknown,may,263,-1,0,unknown,no
34,yes,unknown,may,13,-1,0,unknown,no
46,yes,unknown,may,416,-1,0,unknown,no
49,yes,unknown,may,162,-1,0,unknown,no
50,yes,unknown,may,129,-1,0,unknown,no
34,yes,unknown,may,150,-1,0,unknown,no
36,yes,unknown,may,191,-1,0,unknown,no
59,yes,unknown,may,26,-1,0,unknown,no
45,yes,unknown,may,250,-1,0,unknown,no
36,yes,unknown,may,146,-1,0,unknown,no
42,yes,unknown,may,121,-1,0,unknown,no
30,yes,unknown,may,114,-1,0,unknown,no
30,yes,unknown,may,289,-1,0,unknown,no
47,yes,unknown,may,225,-1,0,unknown,no
36,yes,unknown,may,130,-1,0,unknown,no
39,yes,unknown,may,161,-1,0,unknown,no
56,yes,unknown,may,149,-1,0,unknown,no
39,yes,unknown,may,268,-1,0,unknown,no
52,no,unknown,may,26,-1,0,unknown,no
36,yes,unknown,may,153,-1,0,unknown,no
35,yes,unknown,may,424,-1,0,unknown,no
47,yes,unknown,may,179,-1,0,unknown,no
57,yes,unknown,may,383,-1,0,unknown,no
38,yes,unknown,may,440,-1,0,unknown,no
46,yes,unknown,may,23,-1,0,unknown,no
34,no,unknown,may,195,-1,0,unknown,no
38,yes,unknown,may,87,-1,0,unknown,no
56,yes,unknown,may,427,-1,0,unknown,no
41,yes,unknown,may,189,-1,0,unknown,no
52,no,unknown,may,195,-1,0,unknown,no
61,yes,unknown,may,179,-1,0,unknown,no
53,no,unknown,may,69,-1,0,unknown,no
47,yes,unknown,may,105,-1,0,unknown,no
53,yes,unknown,may,266,-1,0,unknown,no
39,yes,unknown,may,96,-1,0,unknown,no
56,yes,unknown,may,155,-1,0,unknown,no
55,yes,unknown,may,162,-1,0,unknown,no
44,yes,unknown,may,352,-1,0,unknown,no
35,yes,unknown,may,154,-1,0,unknown,no
55,yes,unknown,may,310,-1,0,unknown,no
37,yes,unknown,may,390,-1,0,unknown,no
30,yes,unknown,may,369,-1,0,unknown,no
36,yes,unknown,may,341,-1,0,unknown,no
38,yes,unknown,may,79,-1,0,unknown,no
41,yes,unknown,may,140,-1,0,unknown,no
48,no,unknown,may,315,-1,0,unknown,no
28,no,unknown,may,174,-1,0,unknown,no
54,yes,unknown,may,138,-1,0,unknown,no
30,no,unknown,may,526,-1,0,unknown,no
48,no,unknown,may,135,-1,0,unknown,no
38,yes,unknown,may,1906,-1,0,unknown,no
37,yes,unknown,may,219,-1,0,unknown,no
37,yes,unknown,may,147,-1,0,unknown,no
56,yes,unknown,may,407,-1,0,unknown,no
39,yes,unknown,may,209,-1,0,unknown,no
49,no,unknown,may,92,-1,0,unknown,no
51,yes,unknown,may,208,-1,0,unknown,no
43,yes,unknown,may,193,-1,0,unknown,no
29,yes,unknown,may,65,-1,0,unknown,no
48,yes,unknown,may,339,-1,0,unknown,no
55,yes,unknown,may,285,-1,0,unknown,no
53,yes,unknown,may,231,-1,0,unknown,no
39,yes,unknown,may,278,-1,0,unknown,no
31,yes,unknown,may,389,-1,0,unknown,no
39,yes,unknown,may,158,-1,0,unknown,no
40,yes,unknown,may,145,-1,0,unknown,no
48,no,unknown,may,142,-1,0,unknown,no
33,yes,unknown,may,87,-1,0,unknown,no
40,yes,unknown,may,147,-1,0,unknown,no
59,yes,unknown,may,289,-1,0,unknown,no
31,yes,unknown,may,170,-1,0,unknown,no
35,yes,unknown,may,802,-1,0,unknown,no
54,yes,unknown,may,381,-1,0,unknown,no
34,yes,unknown,may,218,-1,0,unknown,no
56,yes,unknown,may,304,-1,0,unknown,no
32,yes,unknown,may,241,-1,0,unknown,no
42,yes,unknown,may,230,-1,0,unknown,no
33,no,unknown,may,262,-1,0,unknown,no
52,no,unknown,may,201,-1,0,unknown,no
52,yes,unknown,may,145,-1,0,unknown,no
30,yes,unknown,may,252,-1,0,unknown,no
44,yes,unknown,may,235,-1,0,unknown,no
55,yes,unknown,may,328,-1,0,unknown,no
33,yes,unknown,may,116,-1,0,unknown,no
37,yes,unknown,may,246,-1,0,unknown,no
42,yes,unknown,may,293,-1,0,unknown,no
38,yes,unknown,may,132,-1,0,unknown,no
37,yes,unknown,may,530,-1,0,unknown,no
31,yes,unknown,may,175,-1,0,unknown,no
41,yes,unknown,may,524,-1,0,unknown,no
29,yes,unknown,may,311,-1,0,unknown,no
38,yes,unknown,may,211,-1,0,unknown,no
44,yes,unknown,may,312,-1,0,unknown,no
39,yes,unknown,may,412,-1,0,unknown,no
33,yes,unknown,may,191,-1,0,unknown,no
41,no,unknown,may,284,-1,0,unknown,no
40,yes,unknown,may,144,-1,0,unknown,no
29,yes,unknown,may,328,-1,0,unknown,no
32,yes,unknown,may,226,-1,0,unknown,no
45,yes,unknown,may,507,-1,0,unknown,no
33,yes,unknown,may,392,-1,0,unknown,no
34,yes,unknown,may,684,-1,0,unknown,no
41,yes,unknown,may,311,-1,0,unknown,no
35,yes,unknown,may,128,-1,0,unknown,no
40,yes,unknown,may,322,-1,0,unknown,no
60,yes,unknown,may,202,-1,0,unknown,no
46,yes,unknown,may,739,-1,0,unknown,no
31,yes,unknown,may,273,-1,0,unknown,no
49,yes,unknown,may,260,-1,0,unknown,no
29,yes,unknown,may,268,-1,0,unknown,no
38,yes,unknown,may,262,-1,0,unknown,no
37,yes,unknown,may,308,-1,0,unknown,no
35,yes,unknown,may,467,-1,0,unknown,no
31,yes,unknown,may,320,-1,0,unknown,no
46,yes,unknown,may,245,-1,0,unknown,no
40,yes,unknown,may,189,-1,0,unknown,no
29,yes,unknown,may,477,-1,0,unknown,no
49,yes,unknown,may,310,-1,0,unknown,no
54,yes,unknown,may,196,-1,0,unknown,no
40,yes,unknown,may,221,-1,0,unknown,no
53,yes,unknown,may,197,-1,0,unknown,no
49,yes,unknown,may,221,-1,0,unknown,no
29,yes,unknown,may,75,-1,0,unknown,no
36,yes,unknown,may,400,-1,0,unknown,no
37,yes,unknown,may,378,-1,0,unknown,no
39,yes,unknown,may,118,-1,0,unknown,no
44,yes,unknown,may,346,-1,0,unknown,no
40,yes,unknown,may,60,-1,0,unknown,no
49,yes,unknown,may,276,-1,0,unknown,no
30,yes,unknown,may,152,-1,0,unknown,no
24,yes,unknown,may,390,-1,0,unknown,no
46,yes,unknown,may,306,-1,0,unknown,no
33,no,unknown,may,189,-1,0,unknown,no
43,yes,unknown,may,125,-1,0,unknown,no
40,no,unknown,may,79,-1,0,unknown,no
44,yes,unknown,may,13,-1,0,unknown,no
35,yes,unknown,may,283,-1,0,unknown,no
47,yes,unknown,may,109,-1,0,unknown,no
31,yes,unknown,may,144,-1,0,unknown,no
